,Name,Address,Price,Size,Distance to beach,Distance to airport,Pool,Car,Non-smoking room,Near beach,WiFi,Family room,Bar,Breakfast
242,Thuận An 2,"248 Lê Đại Hành Phường Hòa Thọ Đông - Quận Cẩm Lệ, Đà Nẵng, Việt Nam",220.0,17,4.3500000000000005,1.100000000000001,0,0,0,0,0,0,0,0
243,LAGOM APARTMENT AND HOTEL,"An Thượng 28 Số 06, Đà Nẵng, Việt Nam",696.0,45,0.25,4.3,1,1,1,0,1,1,0,0
244,Nhat Minh Hotel and Apartment,"Lot D1 Tran Bach Dang Str, My An Ward, Ngu Hanh Son Dist, Đà Nẵng, Việt Nam",748.0,23,0.15,4.4,1,1,1,0,1,1,1,0
245,Dang's Hotel,"92 Mai Hac De, Đà Nẵng, Việt Nam",440.0,25,1.6,3.2,0,1,1,0,1,1,0,0
246,Continent Apartment,"01 An Don 6, Son Tra, Da Nang, Đà Nẵng, Việt Nam",512.0,22,0.85,4.1,0,1,1,1,1,1,0,0
247,Ritzy Boutique Hotel Da Nang,"21-23 Le Quang Dao Street, My An Ward, Ngu Hanh Son Dist, Đà Nẵng, Việt Nam",900.0,22,0.35,4.2,1,1,1,1,1,1,1,0
248,Pavilion Hotel Da Nang,"35 Võ Văn Kiệt, Sơn Trà, Đà Nẵng, Việt Nam",1120.0,30,0.2,4.5,1,1,1,1,1,1,1,0
249,An Hoi Canary Hotel,"28 An Thuong 2, Ngu Hanh Son District , Da Nang, Đà Nẵng, Việt Nam",345.0,18,0.2,4.3,0,0,0,1,1,0,0,0
250,SeaFront Hotel DaNang,"240 Võ Nguyên Giáp, Đà Nẵng, Việt Nam",1081.0,30,0.15,4.6,1,1,1,1,1,1,1,0
251,Dan Oasis Hotel and Apartment,"A2.3 Hoang Sa, Đà Nẵng, Việt Nam",592.0,28,0.02,6.0,0,1,1,1,1,0,1,0
252,Val Soleil Hotel,"186 Tran Phu , Đà Nẵng, Việt Nam",1085.0,22,2.5,2.4,1,1,1,0,1,1,1,0
253,Muong Thanh Grand Da Nang Hotel,"962 Ngo Quyen Street, An Hai Tay Ward, Đà Nẵng, Việt Nam",950.0,27,1.4,3.4,1,1,1,0,1,1,1,0
254,Golden House Hotel,"51 Dương Tự Minh, Đà Nẵng, Việt Nam",300.0,25,0.35,4.4,0,0,0,0,1,0,0,0
255,Sofitel Seaview,"An Thượng 29, Đà Nẵng, Việt Nam",220.0,25,0.25,4.3,0,0,1,0,1,1,1,0
256,Hang Masion Hotel & Apartment,"61-63 An Thuong 26, phương Mỹ An, quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",574.0,25,0.2,4.4,1,0,1,1,1,1,1,0
257,Golden Star Suite Hotel by THG,"06 Phan Liêm, Đà Nẵng, Việt Nam",475.0,26,0.15,4.4,0,1,1,0,1,1,1,0
258,Capecia Danang Hotel and Apartment,"10 Phan Ton, Ngu Hanh Son , Đà Nẵng, Việt Nam",552.0,28,0.2,4.3,0,1,1,1,1,1,1,0
259,Kaia Residence Danang Quiet Garden,"Lý Tự Trọng 132/15, Đà Nẵng, Việt Nam",1350.0,50,1.6,2.4,0,1,1,0,1,1,1,0
260,Le's Apartment & Coffee,"Dương Đình Nghệ 252, Đà Nẵng, Việt Nam",700.0,27,1.4,3.6,0,0,1,0,1,1,0,0
261,Cozy Danang Boutique Hotel,"37 Co Giang, Đà Nẵng, Việt Nam",1245.0,35,2.6,2.1,1,1,1,0,1,1,1,0
262,Bare Han - Bare Boutique Stays,"169/14 Đường Trần Phú, Hải Châu I, Hải Châu, Đà Nẵng, Việt Nam",712.0,25,2.4,2.5,1,0,1,0,1,0,0,0
263,Avatar Danang Hotel,"104 Hoang Ke Viem , Đà Nẵng, Việt Nam",1072.0,28,0.2,4.3,1,1,1,1,1,1,0,0
264,Jolia's House Da Nang Beach,"498/1 Võ Nguyên Giáp, phường Khuê Mỹ, quận Ngũ Hành Sơn, Đà Nẵng, Đà Nẵng, Việt Nam",670.0,26,0.25,4.5,1,1,1,1,1,1,1,0
265,Adina 3 Star Hotel,"Lô G6-G7 Phạm Văn Đồng, Phường An Hải Bắc , Quận Sơn Trà, Đà Nẵng, Việt Nam",607.0,22,0.95,3.9,0,1,1,1,1,1,0,0
266,Eden Ocean View Hotel Da Nang,"294 Vo Nguyen Giap Street, My An Ward, Ngu Hanh Son District, , Đà Nẵng, Việt Nam",1025.0,20,0.04,4.5,1,1,1,1,1,1,0,0
267,Misa Hotel Da Nang,"11 Duong Dinh Nghe, Đà Nẵng, Việt Nam",451.0,20,0.2,4.6,0,1,1,1,1,1,0,0
268,Fuji Hostel,"03 Tô Hiến Thành, Phước Mỹ, Sơn Trà, Đà Nẵng 03 Tô Hiến Thành, Đà Nẵng, Việt Nam",379.0,25,0.3,4.4,0,1,0,1,1,1,0,0
269,Bridges Danang Boutique Hotel,"4 Phuoc Truong 11, Phuoc My, Son Tra, Đà Nẵng, Việt Nam",761.0,20,0.4,4.8,0,0,1,0,1,1,1,0
270,Memories Holiday beach villa Da Nang,"The Ocean Villas, Đà Nẵng, Việt Nam",3616.5,60,0.3,7.099999999999999,1,1,1,0,1,0,1,0
271,Bantique Hotel,"17 Phạm Văn Đồng, Đà Nẵng, Việt Nam",422.0,22,1.2,3.8,0,1,1,0,1,1,0,0
272,Maximilan Danang Beach Hotel,"222 Vo Nguyen Giap, Son Tra District, Đà Nẵng, Việt Nam",1633.0,27,0.1,4.7,1,0,1,1,1,1,1,0
273,Novotel Danang Premier Han River,"36 Bach Dang, Đà Nẵng, Việt Nam",2295.0,28,2.4,3.1,1,1,1,0,1,1,1,0
274,Happy Day Hotel & Spa,"160 Bach Dang, Đà Nẵng, Việt Nam",446.0,18,2.3,2.6,0,1,1,0,1,0,0,0
275,My Khe 2 Da Nang Seafront Hotel,"260 Vo Nguyen Giap, Son Tra, Đà Nẵng, Việt Nam",560.0,30,0.05,4.6,0,1,1,1,1,1,1,0
276,Adela Boutique Hotel - Free Sauna,"10 An Thuong 36, Đà Nẵng, Việt Nam",795.0,22,0.4,4.2,1,1,1,0,1,1,1,0
277,Angel Hotels Beach Danang,"Lot 31, 32 Ngo Thi Si, My An, Ngu Hanh Son, Da Nang, Viet nam, Đà Nẵng, Việt Nam",1008.0,27,0.1,4.4,1,1,1,1,1,1,1,0
278,Sanayen Villa & Residences,"17 Do The Chap, Phuoc My, Son Tra, Đà Nẵng, Việt Nam",931.0,35,0.2,4.9,1,1,1,1,1,1,0,0
279,Rosabella Boutique Hotel,"39 Loseby, Son Tra, Đà Nẵng, Việt Nam",618.0,20,0.55,4.4,0,1,1,0,1,1,1,0
280,Cali hotel books Da Nang,"995 Ngô Quyền, Đà Nẵng, Việt Nam",522.0,27,1.3,3.5,0,0,1,1,1,1,1,0
281,Shelter Stay Da Nang,"134 Hồ Nghinh, Đà Nẵng, Việt Nam",515.0,19,0.35,4.6,0,0,1,1,1,1,0,0
282,OYO 1224 Motel Phuong Linh,"Lo 155A -A7, KDC Van Tuong, Hoa Khanh Bac, Lien Chieu, Da Nang, Viet Nam, Da-Nang, Đà Nẵng, Việt Nam",247.0,25,0.4,5.0,0,0,1,0,1,1,0,0
283,Vacation Home Ocean Villas,"The Ocean Villas, Truong Sa, Hoa Hai, Ngu Hanh Son, Đà Nẵng, Việt Nam",3616.5,80,0.25,7.099999999999999,1,1,1,0,1,0,1,0
284,Sunview Beach Hotel Danang,"88-90 D. Loseby, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam",1822.0,20,0.4,4.6,1,1,1,0,1,1,0,0
285,ATP Galaxy Hotel & Apartment,"89 Trần Phước Thành, phường Khuê Trung, quận Cẩm Lệ, Đà Nẵng, Việt Nam",549.0,23,4.3500000000000005,1.100000000000001,0,0,1,0,1,1,1,0
286,Siro House Da Nang Homestay,"K72/8 Nguyễn Văn Thoại, Quận Ngũ Hành Sơn, Đà Nẵng, Đà Nẵng, Việt Nam",309.0,18,0.75,3.8,0,0,1,1,1,1,0,0
287,Brilliant Majestic Hotel,"121 Hồ Nghinh, Đà Nẵng, Việt Nam",851.0,24,0.35,4.6,0,1,1,0,1,1,1,0
288,Blue Ocean Apartment at My Khe Da Nang,"270 Võ Nguyên Giáp, Đà Nẵng, Việt Nam",1805.0,70,0.05,4.5,0,0,1,1,1,1,1,0
289,Dreamy Beach Villas And Resort,"The Ocean Villas, Đà Nẵng, Việt Nam",3616.5,56,0.3,7.099999999999999,1,1,1,0,1,1,1,0
290,Win's Homestay,"93 Lưu Quý Kỳ, Hải Châu, Đà Nẵng, Đà Nẵng, Việt Nam",250.0,15,3.1,1.7,0,1,1,0,1,0,0,0
291,HODI Hotel,"12-14 An Thượng 26, Đà Nẵng, Việt Nam",500.0,18,0.3,4.3,0,1,1,1,1,1,0,0
