Name,Address,Price,Size,Distance to beach,Distance to airport,Pool,Car,Non-smoking room,Near beach,WiFi,Family room,Bar,Breakfast
Tashi Ocean Hotel & Apartment Da Nang,"62 Hồ Nghinh, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",667,25,0.35,4.8,0,1,1,1,1,1,0,0
San Marino Boutique Danang,"161-163-165 Vo Van Kiet, Son Tra, Đà Nẵng, Việt Nam",768,20,0.95,3.8,1,1,0,0,1,1,1,0
LEGEND Boutique Hotel,"169 Hồ Nghinh, Đà Nẵng, Việt Nam",1204,25,0.25,4.5,1,1,1,0,1,0,0,0
Lupin Boutique Hotel Danang,"171 Street 3/2, Thuan Phuoc Ward, Hai Chau Dist., Đà Nẵng, Việt Nam",500,26,2.1,3.2,0,0,1,0,1,0,0,0
Hotel Del Luna Boutique,"138 Ho Nghinh, Đà Nẵng, Việt Nam",900,25,0.3,4.6,1,1,1,0,1,1,1,0
Mitisa Hotel Da Nang,"67-69 Nguyen Van Linh, Hai Chau District , Đà Nẵng, Việt Nam",815,22,2.1,1.3,1,1,1,0,1,0,0,0
ViAn Hotel And Spa Danang,"124 Phạm Văn Đồng, Đà Nẵng, Việt Nam",641,30,1.1,3.8,1,0,1,0,1,1,1,0
KOVA Diamond Hotel Da Nang,"27 Vo Van Kiet Str., Đà Nẵng, Việt Nam",800,25,0.25,4.5,1,1,1,1,1,1,0,0
Hadana Boutique Hotel,"H1-04,05,06 đường Phạm Văn Đồng, phường An Hải Bắc, quận Sơn Trà, Thành Phố Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",720,20,1.1,3.8,1,1,1,0,1,1,1,0
FIVITEL King,"171 Nguyen Van Thoai, Da Nang, Đà Nẵng, Việt Nam",686,24,0.55,4.0,1,1,1,1,1,1,1,0
Canvas Danang Beach Hotel,"234 Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",1465,28,0.1,4.6,1,1,1,1,1,1,1,1
Cordial Grand Hotel and Apartment,"27-29 Loseby, An Hai Bac, Son Tra, Đà Nẵng, Việt Nam",483,20,0.55,4.5,1,1,1,0,1,1,1,0
The Code Hotel & Spa Da Nang,"Khu A2.3, Đường Hoàng Sa, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng, Việt Nam",824,25,0.01,6.0,1,1,1,1,1,1,1,0
Santa Luxury Hotel,"9 Đỗ Bá, Đà Nẵng, Việt Nam",909,28,0.1,4.4,1,1,1,0,1,1,1,0
Monalisa Apartment,"18-24 Phan Ton Street, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam",443,35,0.15,4.4,1,1,1,0,1,1,0,0
Hilton Garden Inn Da Nang,"96 Vo Nguyen Giap Street, 550000 Đà Nẵng, Việt Nam",1800,27,0.05,5.0,1,1,1,1,1,1,1,0
Sea Wind Hotel by THG,"74 Trần Bạch Đằng, Đà Nẵng, Việt Nam",600,25,0.15,4.4,1,1,0,1,1,1,0,0
D&C Hotel,"01 Mai Hac De, Đà Nẵng, Việt Nam",389,19,1.6,3.2,0,0,1,0,1,0,0,0
Four Points by Sheraton Danang,"118-120 Vo Nguyen Giap Street, Phuoc My Ward, 550000 Đà Nẵng, Việt Nam",2250,35,0.1,5.0,1,0,1,1,1,1,1,0
Quoc Cuong Center Da Nang Hotel by Haviland,"324-326 Hoang Dieu Street, Đà Nẵng, Việt Nam",445,25,2.5,1.5,1,1,1,0,1,1,0,0
Seahorse Tropical Da Nang Hotel by Haviland,"29 Yen Bai, Hai Chau , Đà Nẵng, Việt Nam",975,30,2.4,2.5,1,1,1,0,1,0,0,0
AVORA Boutique Hotel,"136 Lê Duẩn, Thạch Thang, Hải Châu, Đà Nẵng, Việt Nam",801,25,1.6,1.9,1,0,1,0,1,1,1,0
Bona Hostel,"108 Cao Bá Quát, Đà Nẵng, Việt Nam",315,20,1.7,3.1,0,0,1,0,1,1,0,0
Tay Bac Hotel Da Nang,"04 Ha Bong, Đà Nẵng, Việt Nam",672,25,0.2,4.6,0,0,1,1,1,1,0,0
Jolia Hotel Danang Beach,"35 - 37 An Thuong 29 Str, My An Ward, Ngu Hanh Son Dist, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",887,37,0.25,4.3,1,1,1,1,1,1,0,0
